Name,LDM_ENTITY_CODE,LDM_ENTITY_NAME,LINKED_ITEMS,FILTER
Reverse repurchase agreements,RPRCHS_AGRMNT_INSTRMNT,Repurchase agreement instrument,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT_IFRS:INTRNTNL_ORGNSTN,
Advances that are not loans,ADVNC,Advance,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT,
Deposits,DPST,Deposits,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT:RPYMNT_RGHTS:PRTY_RL:DPST_DPSTR_ASSGNMNT,
Other loans,OTHR_LN,Other loan,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT:PRTY:FNNCL_ASST_INSTRMNT_DRVD_DT:FNNCL_ASST_INSTRMNT:BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT_IFRS:OTHR_LN_DBTR_ASSGNMNT:INTRNTNL_ORGNSTN:PRTY_RL,
Non Negotiable bonds,LNG_NN_NGTBL_SCRTY_PSTN,Long non negotiable security position,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:INTRNTNL_ORGNSTN:ISIN_SCRTY,
Commercial real estate CRE loans,OTHR_LN,Other loan,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT,
Debt securities,SCRTY_PSTN,Debt security,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:PRTY_DRVD_DT:PRTY:ISIN_SCRTY:DBT_SCRTY:LNG_DBT_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IFRS,
Certificates of deposits,SCRTY_PSTN,Debt security,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:PRTY_DRVD_DT:PRTY,
Hybrid contracts,NN_FNNCL_LBLTY,Non financial liability,,
Other debt securities issued,DBT_SCRTY_ISSD,Debt_ security issued by the reporting agent ,,
Other debt securities issued - convertible compound financial instruments,DBT_SCRTY_ISSD,Debt_ security issued by the reporting agent ,,
Other debt securities issued - non-convertible,DBT_SCRTY_ISSD,Debt_ security issued by the reporting agent ,,
Debt securities - Asset backed securities ABS,ABS,Asset backed security,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,
Debt securities - Covered bonds,CVRD_BND,Covered bond,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,
Equity instrument that is not a security,EQT_INSTRMNT_NT_SCRT,Equity instrument that is not a security,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT,
