Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
(Reverse) Repurchase transaction Non-balance sheet recognised security position (received) assignment has derived data via (Reverse) Repurchase transaction Non-balance sheet recognised security position (received) assignment derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,648163CA-3497-8F11-8DFB-F15225693321,4883,,(Reverse) Repurchase transaction Non-balance sheet recognised security position (received) assignment,(Reverse) Repurchase transaction Non-balance sheet recognised security position (received) assignment derived data,,,*,1,Y,N,None,Y,F694A722-2D01-272C-E219-B105D2D77C80,576,54CC7DF0-D46F-D28F-77B1-1465A6F08883,577,17
(Reverse) Repurchase transaction Non-balance sheet recognised security position assignment is assigned to a Repurchase transaction via Repurchase transaction Non-balance sheet recognised security position assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,B79C7A7E-CC00-B27E-8529-C47D32C65F5A,4884,,Non-balance sheet recognised security position ,(Reverse) Repurchase transaction Non-balance sheet recognised security position (received) assignment,,,*,1,Y,N,None,Y,D0F54796-D350-E3DC-FBD3-8F0AC47B6353,973,F694A722-2D01-272C-E219-B105D2D77C80,576,12
(Reverse) Repurchase transaction Non-balance sheet recognised security position assignment is assigned to a Repurchase transaction via Repurchase transaction Non-balance sheet recognised security position assignmentv2,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,A0735ACC-4609-DC90-E8D8-15270AA84675,4885,,Non-balance sheet recognised security position ,Repurchase transaction Non-balance sheet recognised security position (given) assignment,,,*,1,Y,N,None,Y,D0F54796-D350-E3DC-FBD3-8F0AC47B6353,973,E0958300-7F1A-F70D-8BC0-B4DCA7A6E3DF,1181,12
(Reverse) Repurchase transaction receives gold as collateral via (Reverse) Repurchase transaction gold collateral received assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,11BF27DE-DA87-4332-D2F0-E445AD29D2A5,4886,,Repurchase transaction,(Reverse) repurchase transaction gold collateral received assignment,,,*,1,Y,N,None,Y,B03540AC-36AC-63EE-EEC5-CB1B2B0E4C5D,1177,5C207513-B80B-2B01-86DB-39048C524A11,575,5
(Reverse) Repurchase transaction uses Non-balance sheet recognised security position via  Repurchase transaction Non-balance sheet recognised security position assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,5AC184F9-8AEA-E12E-C7ED-3AE32757617D,4887,,Repurchase transaction,(Reverse) Repurchase transaction Non-balance sheet recognised security position (received) assignment,,,*,1,Y,N,None,Y,B03540AC-36AC-63EE-EEC5-CB1B2B0E4C5D,1177,F694A722-2D01-272C-E219-B105D2D77C80,576,5
A balance sheet recognised security position might be a long/short balance sheet recognised security,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,3DE7376A-5476-B411-30D2-3A4001DF3CBB,4888,,Balance sheet recognised security position,Long/Short balance sheet recognised security position,,,*,1,Y,N,None,Y,C80972BD-FFEA-91AA-6AF0-6B061462F975,638,787DC804-0E68-D537-C02D-2F2E41666E76,915,12
Accounting classification classifies Short balance sheet recognised security position derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,0138FAC4-EE76-7F6D-F26B-C6CF5FA3A86C,4889,,Accounting classification for financial liabilities,Short balance sheet recognised security position derived data,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,581,B35FE2AD-7E8A-1370-14DD-1644B0F7D508,1240,1
Accounting classification for financial assets classifies Balance sheet recognised exchange tradable derivative asset position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,B36E4B03-7CD3-A326-4A20-DA3B42A3FD19,4890,,Accounting classification for financial assets,Balance sheet recognised exchange tradable derivative asset position,,,*,1,Y,N,None,N,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,580,CD8E5291-A87C-578E-7536-20CECA5FA9A0,622,1
Accounting classification for financial assets is applied to Balance sheet recognised financial asset instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,684805F4-C777-14AF-6645-FAB5C87F2545,4891,,Accounting classification for financial assets,Balance sheet recognised financial asset instrument,,,*,1,Y,N,None,N,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,580,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,630,1
Accounting classification for financial assets is applied to Long balance sheet recognised security position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,92DD22D6-797E-DAE4-E15D-1F0ECDB70877,4892,,Accounting classification for financial assets,Long balance sheet recognised security position prudential portfolio Accounting classification assignment,,,*,1,Y,N,None,Y,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,580,8C41CD82-6B5E-E1F3-6046-8A212990D177,927,1
Accounting classification for financial liabilities classifies Financial liability in the form of Debt security issued (by the reporting agent),DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,F79F9B50-4EB2-5A02-7DDE-9EF1B08936E1,4893,,Accounting classification for financial liabilities,Debt security issued (by the reporting agent),,,*,1,Y,N,None,Y,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,581,101580C7-7A41-DBA0-F668-CA0B21D0D2A3,710,1
