entity_name,arc_name,relation_name,target_entity_name
Accounting classification,Accounting classification type,Hierarchy_282,Accounting classification for financial liabilities
Accounting classification,Accounting classification type,Hierarchy_281,Accounting classification for financial assets
Accounting classification,Accounting classification type,Hierarchy_764v1,Accounting classification for off-balance sheet items
Address (used for reporting),Address type,Hierarchy_532,European Union member address
Address (used for reporting),Address type,Hierarchy_533,Non-European Union member address
Address (used for reporting),Address type,Hierarchy_534,No registered Postal Code system address
Advance,Advance type,Hierarchy_75,Suspense item
Advance,Advance type,Hierarchy_76,Transit item
Advance,Advance type,Hierarchy_77,Other advance
Asset pool (subject to a Securitisation and other credit transfer),Asset pool type,Hierarchy_275,Asset pool (subject to a Covered bond programme)
Asset pool (subject to a Securitisation and other credit transfer),Asset pool type,Hierarchy_277,Asset pool (subject to a credit transfer other than securitisation and covered bond programme)
Asset pool (subject to a Securitisation and other credit transfer),Asset pool type,Hierarchy_276,Asset pool (subject to a Securitisation)
Asset pool Instrument assignment,Asset pool Instrument assignment type,Hierarchy_702,Asset pool Equity instrument that is not a security assignment
Asset pool Instrument assignment,Asset pool Instrument assignment type,Hierarchy_703,Asset pool Loan assignment
Asset pool Instrument assignment,Asset pool Instrument assignment type,Hierarchy_701v1,Asset pool Over the counter (OTC) Derivative instrument assignment
Asset pool Instrument assignment,Asset pool Instrument assignment type,Hierarchy_743,Asset pool Deposit assignment
Balance sheet recognised/ Non-balance sheet recognised security position,Security position Balance sheet recognised type,Hierarchy_769,Non-balance sheet recognised security position 
Balance sheet recognised/ Non-balance sheet recognised security position,Security position Balance sheet recognised type,Hierarchy_785,Balance sheet recognised security position
Balance sheet recognised exchange tradable derivative asset position,Balance sheet recognised exchange tradable derivative asset position type,Hierarchy_576,Fair-valued balance sheet recognised exchange tradable derivative asset position
Balance sheet recognised exchange tradable derivative asset position,Balance sheet recognised exchange tradable derivative asset position type,Hierarchy_577v1,Non-fair-valued balance sheet recognised exchange tradable derivative asset position
Balance sheet recognised exchange tradable derivative asset position,Balance sheet recognised exchange tradable derivative asset position accounting standard type,Hierarchy_697,Balance sheet recognised exchange tradable derivative asset position International Financial Reporting Standard (IFRS)
Balance sheet recognised exchange tradable derivative asset position,Balance sheet recognised exchange tradable derivative asset position accounting standard type,Hierarchy_698,Balance sheet recognised exchange tradable derivative asset position national general accepted accounting principles (nGAAP)
Balance sheet recognised exchange tradable derivative asset position,Balance sheet recognised exchange tradable derivative asset position taken into possession type,Hierarchy_766,Balance sheet recognised exchange tradable derivative asset position taken into possession
Balance sheet recognised exchange tradable derivative asset position,Balance sheet recognised exchange tradable derivative asset position taken into possession type,Hierarchy_767,Balance sheet recognised exchange tradable derivative asset position not taken into possession
Balance sheet recognised exchange tradable derivative liability position,Balance sheet recognised exchange tradable derivative liability position type,Hierarchy_596,Fair-valued balance sheet recognised exchange tradable derivative liability position
Balance sheet recognised exchange tradable derivative liability position,Balance sheet recognised exchange tradable derivative liability position type,Hierarchy_513,Non-fair-valued balance sheet recognised exchange tradable derivative liability position
Balance sheet recognised financial asset instrument,Balance sheet recognised financial asset instrument type,Hierarchy_392,Balance sheet recognised financial asset instrument according to national general accepted accounting principles (nGAAP)
Balance sheet recognised financial asset instrument,Balance sheet recognised financial asset instrument type,Hierarchy_391,Balance sheet recognised financial asset instrument according to International Financial Reporting Standard (IFRS)
Balance sheet recognised financial asset instrument,Balance sheet recognised financial asset instrument by fair value type,Hierarchy_572,Fair-valued balance sheet recognised financial asset instrument
Balance sheet recognised financial asset instrument,Balance sheet recognised financial asset instrument by fair value type,Hierarchy_573,Non-fair-valued balance sheet recognised financial asset instrument
Balance sheet recognised financial asset instrument,Balance sheet recognised financial asset instrument taken into possession type,Hierarchy_746,Balance sheet recognised financial asset instrument taken into possession
Balance sheet recognised financial asset instrument,Balance sheet recognised financial asset instrument taken into possession type,Hierarchy_747,Balance sheet recognised financial asset instrument not taken into possession
Balance sheet recognised financial liability instrument,Balance sheet recognised financial liability instrument type,Hierarchy_394,Non-fair-valued balance sheet recognised financial liability instrument
Balance sheet recognised financial liability instrument,Balance sheet recognised financial liability instrument type,Hierarchy_393,Fair-valued balance sheet recognised financial liability instrument
Branch,Domestic branch indicator,Hierarchy_625,Foreign branch
Branch,Domestic branch indicator,Hierarchy_626,Domestic branch
Central bank,Central bank type,Hierarchy_550,European Central Bank
Central bank,Central bank type,Hierarchy_551,Central Bank that is not the European Central Bank
Central bank and Corporation,Central bank and Corporation type,Hierarchy_20,Non-financial corporation
